residuals,maternal_ranks
1.49E-01,4
6.11E-01,4
2.40E-01,4
-2.19E-01,4
5.00E-01,4
1.89E-01,4
6.39E-02,4
4.21E-01,8
8.60E-01,8
-9.27E-07,8
1.43E+00,8
-1.27E-01,7
2.60E-06,7
-1.70E-01,12
-1.21E+00,12
-1.60E-01,10
7.81E-01,10
-4.00E-01,11
9.38E-01,11
-2.54E-01,9
-1.21E+00,9
1.91E-05,1
-2.93E-05,1
-1.56E+00,1
1.09E-01,1
8.77E-01,1
-1.80E-01,1
3.28E-07,1
-2.93E-05,5
2.38E-01,5
1.09E-01,5
-2.60E-06,5
-3.21E-01,5
-1.80E+00,5
4.27E-01,2
1.56E-01,2
1.42E-01,2
-1.76E-01,2
-1.14E+00,2
1.47E+00,1
4.20E-07,1
1.22E+00,4
-9.58E-01,4
2.04E-01,4
-1.28E-06,3
5.95E-01,3
-8.57E-01,3
