ID,residuals,maternal_ranks
39,0.29669748,4
39,0.79210843,4
39,1.02245557,4
39,-0.03022737,4
39,0.5273601,4
39,0.28667315,4
39,0.1157535,4
41,1.24133687,8
41,-1.52711943,8
41,-0.87069647,8
41,0.46812797,8
51,0.60959143,7
51,-0.03510654,7
53,1.04589815,12
53,1.83121541,12
54,0.06473576,10
54,0.71738493,10
55,1.56164218,11
55,-0.60243747,11
60,-0.92098571,9
60,-1.35413601,9
75,0.82128485,1
75,-0.29205576,1
76,-0.28751328,1
76,-0.44624577,1
76,-0.31527626,1
76,-0.4436337,1
76,-0.18011729,1
90,0.06489562,5
90,-0.50915653,5
90,-1.51440283,5
90,-0.34225994,5
90,0.8371726,5
90,-0.38775563,5
94,0.55935442,2
94,-1.02026241,2
94,-0.70207984,2
94,0.64232911,2
94,-0.26886599,2
96,0.5885899,1
96,0.59767247,1
97,-0.82242119,4
97,-0.48655952,4
97,-1.46128856,4
101,-1.0342527,3
101,-0.06060478,3
101,1.50321329,3
